vedio_id,author,title,description,view_amount
BV1EfBWYNEJA,逗比的雀巢,超超超喜欢我的100个甲方,逗比的雀巢被饿死前的幻想罢了,2653314
BV1pSUdYoEEv,吃不完的赛罗酱,【4K 奥特无缝衔接】震撼大赏！纵享丝滑到飞起的视觉盛宴！！,之前答应的上上上个视频的完整版，我没鸽！！！,3710151
BV1ucBqYpEAG,马鹿blyat,《坦克模拟器4》,"再次感谢《坦克世界》官方，“坦克模拟器4”来啦！还没入坑的兄弟，可通过我的专属链接领取我的专属礼包加入战斗；
①国服玩家入口：https://urlqh.cn/sUx2s
②国际服玩家入口：https://tanks.ly/3zXijks 新手邀请码：COMBAT
同时WCI坦克世界国际冠军赛将于11月23日-24日正式打响！车长们可通过观看WCI直播、完成游戏任务获取点数，领取WCI定制贴花、2D风格、全局经验等精选物品",2600840
BV19RBBYPEnZ,老番茄,究极浪漫！下雨天，我们看到了奇迹般的烟花…【青春旅行团05】,"全！新！系！列！！《青春旅行团》第五期！！
随机一个人策划一期旅游，结果会是怎么样的？？？
一键三连，我们速速拍摄下一期哟！！！",2799342
BV1GTBsYfExd,纽毕斯,“小时候以为是童话，长大后才知是现实”,"深度向鬼畜系列持续更新，欢迎关注！你的支持是我最大的动力！
——————————————
深度向鬼畜系列（持续更新）：
第一部:BV1tM4m1a7xk
第二部:BV1bi421e7v8
第三部:BV1Ua4y1E7kf
第四部:BV1uW4y1y7SU
第五部:BV1Ks411w77V
第六部:BV1yr421T76b
更多作品见视频下方合集
——————————————
小时候看葫芦娃只觉得有趣，现在再看原来有这么多隐喻。
小时候看不懂，长大了不想懂。
——————————————
BGM：Now, ",1413108
BV1y4BiYyEnV,小潮院长,马家屯（大结局）,"希望观众老爷喜欢这个系列！
（希望你们喜欢，记得素质三连！）",2293201
BV1DQBeYSEHB,李维刚的日常,6块钱一斤包的塘，河虾50一斤，多抓点虾岂不赚翻？,-,1484635
BV15MBiYZEcQ,牙牙的包裹,这次，别再丢下我了,-,1403521
BV1TiByYrEe4,尕丶天堂,那些日漫角色突然说中文的名场面合集！一开口就绷不住了！,"最近新番里说中文的角色好像特别多，一时兴起整理了一批说日漫中说中文的名场面素材，看看不同段位的中文水平都是啥样！
喜欢别忘记点个三连和分享！",3414595
BV1GeUUYREXy,崩坏星穹铁道,《崩坏：星穹铁道》黄金史诗PV：「翁法罗斯英雄纪」,"翁法罗斯！我并非陡然地呼唤你的名字。
我来此，是为了讲述历史——
末日的黑潮降临大地，神明堕入疯狂，凡人举戈相向。
但仍有逐火的英雄，在创世的伟业中先行。
 ‌
此世，他们将燃烧的金血熔进身躯。
来日的命运，可会记得他们的姓名？
阿格莱雅、缇宝、那刻夏、风堇、万敌、赛飞儿、遐蝶、白厄、海瑟音、████、██、刻律德菈……
 
酣睡在黄昏的记忆，请不要忘记——翁法罗斯的名字。
 
中文CV：
「金织」阿格莱雅——楚越
黑塔——侯小菲
名为「昔涟」的少女——宴宁
 
日文CV：
「金织」阿格莱雅——远藤绫
黑",5864087
BV14DBrYeE1E,诺子喵呜,这是失明以后去医院最担心的事情，但是我遇到了一个很好的保安大哥...,"非常感谢他们的帮助和付出

拍摄/粗剪：诺子【使用挂脖运动相机，无障碍剪辑软件剪辑】
剪辑：不一",3783113
BV195B6YuEfE,开心嘴炮,拷问麦琳100个问题！我从未见过如此毛骨悚然的发言！《再见爱人》炸裂解说,《再见爱人》第六期高能吐槽！！,3001424
BV1F5B2YeEJ8,小约翰可汗,俄国人如何在西欧当国王？【硬核狠人74】,本篇为硬核狠人之鲍里斯一世。,1433317
BV19nByYDEZk,泛式,不要慌是技术性调整！2025年1月新番导视！【泛式】,"2025年1月新番全资讯导视。不要慌是技术性调整！开播后都会好起来的赶紧跑步入场！

求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连2024年十月新番",1423168
BV13iBqYbE8i,流茫有点忙,登神试炼1-4集合集,本集为合集，本周因为有家事，没有更新。下周正常恢复，预计一周更新3集,5051090
BV1pmBWYkEn4,旺仔有内涵,赛里木湖你都没去过？,-,941927
BV1GaBqYwE6u,星雨Starrain,“非 自 然 死 亡4”,喜欢就三连支持一下吧ヾ(@^▽^@)ノ,3219223
BV14kB2YLEDg,康哟喂,亲眼看到朝鲜在偷偷发育！中国大爷说朝鲜人很幸福？,"喜欢的话一定要点个关注啊！接下来会更精彩！
做长视频真的不容易，只能说点赞越多更新越快家人们！冲了！",2642105
BV1bVB1YLEig,米饭仙人FFyasueda,【一点青椒肉絲】白米饭3斤半,-,1886969
BV1cVBvYiELc,自闭老吴,第一次看甄嬛传（10）,以前的衣服翻一翻还有好多啊,2071020
BV1sNBqYUEZ5,冷性反气旋,小木块：我要是没静止你不完了,好吧，看来这个系列还没完结,2080688
BV1CxBeYqEKt,托宝_TORBJORN,八重神子召唤指南,"神子姐姐惩罚我吧

感谢合成、镜头解算@狂奋斗  老师
配音：@CV小鱼干  团队
八重神子-哒小兜
影-哒小兜",1511964
BV1eQBBYKEUb,CJY_e,⚡️踩点不小心把阎王爷踩似了⚡️,BGM☞APT.,1221774
BV11pB1YuErt,张河清教授,我用双拳打破家徒四壁,-,1460919
BV1BRByYtEWj,真子日记,感觉好不安全,,1880359
BV1AxURYsEdS,我是九日儿,80岁老人坚守太行山深处的供销社64年，用一生践行为人民服务,,959111
BV1FRB2YTEau,马嘉祺放映馆,爱意磅礴无声，却不惧流言《蜚蜚》· 马嘉祺 | 时代少年团五周年演唱会,封面：Pyramid_ML,275473
BV1xYULYjELi,剑客范十三,科技修仙！我用航天技术实现了真正的御剑术！武侠梦，就此起飞！,,1404619
BV16hBeYPEUN,进击的金厂长,身体：“我也曾想过一了百了”,长按点赞给大家一些鼓励吧！有什么烦恼都可以在评论区尽情倾诉哦！！,1398638
BV1C2B2YrErB,火柴人AlanBecker,火柴人短片汇编 - 第二季（官方）,,836818
BV1aYBqY8EnL,爱查案的蓝宝,戏剧性的6颗子弹。传奇演员的真实故事,我的视频能剪到你心趴上吗？,1068706
BV1MVBCYBEbE,电力小子-gtetgeg,《装甲车模拟器》,我们又与三角洲一拍即合了，大家一起做最优质的战士！（狗头）,2155085
BV1VwUXYAEtH,=咬人猫=,猫 步 轻 点，水 中 起 舞！❤️ 月白 【咬人猫】,月白舞蹈版终于和大家见面啦！先要给一直在关注着月白舞蹈版的小鱼干们说一声感谢！其实不光大家想快点看到成品，我也一样，然而在这背后的制作过程中，有很多很多当时还无法跟大家分享的小困难，从服装到选景到最最重要的编舞，每个环节都让我挠破脑袋。月白的编舞前后经历了三个我都很尊敬很喜欢的编舞老师完全不同的版本，但前面两个版本都和我心中想象的月白不太一样，所以最后邀请到了自己一直以来都很想合作的深雪老师，出了第三版，终于看到了心里的“月白”！是我想象中的她！在这一版上自己又想做一些小小的调整，这样真的花了很长的时间去,1383553
BV1qDUPYKEzf,DECO27_Official,DECO*27 - モニタリング feat. 初音ミク,"「ねえあたし知ってるよ」

2024年11月27日発売
9th Album 「TRANSFORM」 特設サイト
https://nbcuni-music.com/deco27

Lyrics & Music: DECO*27
Arrangement: DECO*27 & Hayato Yamamoto

Movie by OTOIRO
Director: kee
Character Designer: kee
Key Animator: kee, 1024
Animator: 白木メラ, なくり, 橙瀬あ",638148
BV1T7B1YCEBK,脱缰凯Kk,博弈,-,1210683
BV1hUBeYXE2q,史蒂猪StevenPig,一格空岛+惊变100天【1】最变态的生存！,"又是一年的年底，准备了很久的新生存系列，献给大家，希望各位喜欢。
点赞十万，拿命为大家加速周更啊啊啊啊！！！",1199149
BV1ykByYiEdZ,善良的诚哥,看她的表情，这次相亲已经拿下了！,求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！求三连求关注！！,1354616
BV183B1Y2Ekk,紫颜-小仙紫,“啊，是身材健康的旗袍姐妹”,"旗袍姐妹第二弹！我真是太喜欢啦！嘻嘻！

舞蹈/bgm：by2《桃花旗袍》",679300
BV1hVBsYREzj,郭本尼,受不了了！《再见爱人4》解说,,1169977
BV1BqBeYFEcv,加班鱼,《三傻大闹折纸大学！》,老一辈的智慧真的厉害🧐入冬了，听rap一定要听 #三傻的rap🤓小时候常听老人说“冬听三傻夏听知更鸟”，👍🏻我们的老祖宗认为冬季是个变得寒冷的季节🥶所以要多听rap暖身子☺为抵御即将到来的寒冬打下好基础，✊🏻这是我们的宝贵传统，一定要好好保护不能丢掉🙏🏻现在很多年轻人已经不知道这层寓意了，很悲哀😞不过我好像有点过火了，刚才算了一笔账，真是不算不知道😨我竟然一个礼拜给乱破花了三百多万😱我每周平均浏览乱破的绝美照片9个小时（视频另算）😍也就是540分钟🧐已知 # #一寸光阴一寸金  一寸光阴=72分钟一寸金=,754506
BV1k8BiYkEX6,老鸽子从不鸽,克苏鲁海鲜粥教学？！！姐你别教了行吗！我害怕,点赞破万！光速更新下一期！！！,1481918
BV1cXB2YBEm8,刘哔电影,集麦学大成之作，极致双标，全员亮化！,做这个节目真的太受气了，跪求关注加一键三连啦~,1437724
BV1RPBiY8EYy,-超级小能猫-,把一百两小车放在跑步机上跑会有意思吗....,需要沉淀一下了,2613923
BV1bjBsYXEYU,果蝇轰,爱莉凯文来崩铁！崩坏3玩家带你认识十二黄金裔!,"黄泉芽衣的故事证明了，他们能够做到做好。
所以这一次，我也选择相信《崩坏：星穹铁道》。
如果你还有疑问担忧，不如参与进来，而不是嘴皮子不停的互相伤害。
我们下期再见。",480726
BV12nBiYUEfE,星有野,（ 人类有有些迷惑行为 有时候出奇的一致 ）,"干过 绝对干过！

在憋大招，投币多少W下期狮兄狮姐多少分钟",1255097
BV1jtSuYJEhh,贝利亚日推音乐,"循环歌单 | ""奶龙の小曲"" |《我是奶龙》",,5038872
BV1ekBeYdETk,麻薯波比呀,马斯克DOGE部门第一位受害者已经出现！,神仙打架，泽圣遭殃，为什么都针对泽泽？！,1516350
BV1U6BqYRE9n,谭井同学,当代小学生的文具究竟有多高级！,-,2840901
BV1S9URYKEor,CoCon的大学生活,无意间看到了个会跳舞的信号灯,一个会跳舞的信号灯,922849
BV1P1BvYyEk1,倒悬的橘子,抗 妖 神 剧,唐僧：贫僧可不是娇滴滴的和尚，有的是枪炮和子弹。,1808204
BV19rUXYvESp,卷er,听说地府有两个温暖的鬼差,bgm：《驾鹤西去》by裁缝铺,843579
BV1XtB2Y9EEY,一只大哈鱼,地球OL攻略！简单好抄,公费玩车，太是舒服了，让我们爽起走！！！,830938
BV1pDBvYgEij,圆桌动漫,获得不死之身后，我逃出了精神病院,,1638902
BV1zRByYbEqd,整形医生肖一丁,全国医院活地图｜各地生病去哪看？值得收藏！,-,369646
BV195BBYaEcB,夕崽,18分钟吐槽第六期让我不适的45个点！,-,758658
BV13uBsYtECN,老段生,《 理 科 重 癫 班 现 状 ！！！》,"结合了自己的一些经历，用一个月一次的周末做完的视频。
看得开心的话给个三连吧！(｡･㉨･｡)ﾉ♡",661600
BV1aaUdYgEtu,不能吹的哨子,【南瓜入侵】鸭鸭坏！不带队友上无敌点！,"给个三连吧！
求求你们啦！",1563515
BV1WUB2Y3Esz,略nd,逐帧纸绘meme】⚡一键三连变成女孩子是坠可爱的！2.0 (*≧▽≦) ❤️❤️❤️【新成员追加】【爆肝500帧】,"关注我关注我关注我
五六天没睡觉，身体透支了",400738
BV1SLBmYQEFD,黄正义_,当我第一次坐异性领导的车...,家人们我强势回归，不知道在强势什么，反正就是很强势,2235957
BV1vUBiYhEE7,李飞雪_,养鸡空岛第一期：用小鸡打造世界！,,1416920
BV1eyURYGEre,幕川北,这是一滩“假”水！,"全网首创混凝土“假水机关！
需要说明：可能有观众会觉得这期与“这是100%隐身的陷阱”有很高的相似性，但那一期的玻璃水严重依赖地形限制，如果没有自然生成的水池则没办法制造假水，而今天这期属于真正意义上的假水，不需要自然生成的水池，只需用混凝土人为制造“假水”即可直接造福玩家！
也求大家务必点个关注，孩子想突破200万粉/(ㄒoㄒ)/
本期视频三连总数突破三万，马上更新下一期！！！！
最后感谢您的收看！",1562155
BV12pBsYUEnh,小王Albert,法国核电生命线，如何成为中法美俄争夺之地？【西非03丨尼日尔】,一键三连推荐给更多朋友！,955068
BV1yyByYNE3x,云也白游,《太阳之主》1-12加更版：你重生成一颗新生的恒星太阳后,,1238147
BV1pmByYPEy5,ariiol,成龙历险记.яємιχ,"音乐+视频：ariiol
还有一件事",515319
BV193BBYYE8h,课本君Gent,我的世界卡车生存一口气看完！全程高能!看完就睡觉吧!,"我的世界卡车生存一口气看完！全程高能!看完就睡觉吧!
开局只有一辆汽车如何存活下去？
喜欢本系列记得点赞投币收藏谢谢各位！",816204
BV1j9BkYHEyE,M仔B,发布整合包！真神降临！铠武极武装参上！【骑士100天P14】,"大家只需要关注我之后，给我发送""整合包""就可以获得下载方式啦！
▋游戏版本以及使用版本/数据包
￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣
相关游戏：我的世界1.18.2
策划：M仔B
￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣
鸣谢各位骑士模组作者：
xun233今天不在家 @奇葩的小毛    
@寰青酌   @是鲨发不是沙发   @空条羊太郎    
@平力的晓吉   @Aistray   @-Y梦Y-   @是艾雅酱哟  
 @魔术师莱茵alaine   @裤管炸了救救我    
￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣
",516576
BV1iZByYxEop,波士顿圆脸,德媒惊世发言：北溪炸得好，早该炸炸了！,,1184583
BV1qrBiYNEUL,相见似故,从封面开始就很有压迫感！【方舟怪猎01】,"变化这个东西太奇怪了
你形容不出来
但你就是知道已经不一样了",1051502
BV1a6UDYbEb3,风景旅行收藏家,“请你看个烟花吧 希望你看到能开心”,-,1486178
BV1tnBmYEE4Y,宋亚轩的留声机,【宋亚轩】心之所向，落叶归根。听宋亚轩动人演绎独属于少年人的《落叶归根》,,205314
BV1CyByYNEbY,侃木头哦,不实习！不给毕业证？……爆内幕！,-,477595
BV1niBiYzEwM,茄猫的罐头,这个冬天开始学会给女朋友做一碗热饮吧！女生也可以自己做！,-,695305
BV17vBeYaEyN,-陨风-,以防你会通关MC,关注啊，为什么大家都不关注了，原来我的视频做得怎么难看吗QwQ，好吧我承认我就是个废物，视频怎么做不如别人的好看，我就是废物QwQ,930347
BV14kBxY9Edd,STN工作室,【STN快报第七季80】斩斧盾斧都不如旅人的黄金伐木斧,拳头本来可以有自己的黑猴，但做着做着变成进击的巨人了,805395
BV12zByYBELs,乐天乔宇派,“无理”老师，果然强的不无道理！,-,801945
BV1t9BCYgExo,木淼吉星,宝宝你是一只⚽喵喵,-,677497
BV1zQByY8EFP,大喜唠嗑家,乱拳打死老师傅！掺点剧本吧，旁观视角纯折磨【再见爱人4黄执中视角】黄执中。橙执中。红执中。,已经开始观察 观察团老师了…,1434619
BV1vbBqYAEey,虾仁不眨眼-游戏直播,美女蛇 一命速通 没关系宝贝 相信我,"来了宝贝
游戏名：the classrooms",2546706
BV15mBiYwER3,汤圆妈妈笑哈哈,野史不一定要真，但一定要野！,,605510
BV1icB1YWEEw,呱唧菌,爱鲁沃克重出江湖，控制奶浓！,,1006546
BV1fqB1YfEwd,秦文玚本人,说好的随便跳一个,-,1884515
BV1CpBCYhEP2,地铁逃生赫川,地铁逃生小剧场,-,1922066
BV1DWBbYeENM,央视新闻,古典文学研究学者叶嘉莹逝世 享年100岁,古典文学研究学者叶嘉莹曾说，梦想是把中国的诗词传下去。她还捐出3500多万元支持中华优秀传统文化研究。今天，这位“诗词的女儿”逝世，享年100岁。致敬缅怀！,470358
BV1qzBeYZEuC,No_Tables,【 原神：元素战争】靶场事故,"短短的视频，有点赶着来做的但希望大家可以笑一点~

抱歉就近没投稿，我在忙着做大视频，请期待！！

场景是我自己做的，可以下载：https://www.aplaybox.com/details/model/x1Qa48K7ouhq
下载【原神：元素战争】角色模型：https://www.aplaybox.com/u/730708369

宵宫 & 夜兰 配音：EchoCalico
宵宫模型：YochiMochi
夜兰模型：SnazzyPaps
武器模型：Cybeck
宵宫设计：sealion195315
",1184125
BV1UvByY3E45,雪琦妈妈烘焙,有锅就能做的蛋糕！超详细（绝不翻车版）,,326590
BV1fgByYtEWi,只看艺眼,一群人努力的踩着自行车，只为拯救这颗巨大的“心脏”,,4945350
BV12GBrY8Eu3,麦大饼呀,【细胞奇迹】你是一颗细胞，一口气看完,,1404783
BV1AmByYPEVP,招财meme,没有人可以在手里饿死!烈火骑手!,上刀山下火海，使命必达!,1109288
BV1bxBbYAE7J,周大爷不服老,我纯多余了,-,910953
BV1giBqYtEom,舒舒酷北北,"用电画画,挑战不可能",,958473
BV1heBqYfEg1,无敌灏克,考试时的女生和男生,-,854003
BV1GfUSY4EoQ,兔叭咯,【医学科普】呼噜声大！可能是你的性功能减退了！| 打呼噜需要治吗？,"本期视频讲了打呼噜可能导致的危险情况。
打呼噜是如何威胁生命的？
教大家几个改善打鼾的小方法~
希望大家能够认真观看本期视频~
您可能还喜欢：
【精神病】BV1T6mfYqEKh
【异食癖】BV12kDoYMEQR
【脑额叶手术】BV1VzSoY7EeH
【尿毒症】BV1xnyDYqEmA
【膝盖弹响】BV1KtmEYWEMb",608928
BV1VAUXYaE3g,我不是大米饭啊,【潇洒写意，战天斗地！】独属黑神话悟空的中式战斗美学,"BGM：天军行阵乐
游戏内运镜使用的是uuu5自由视角插件（终于学会加景深了）
断断续续做了半个多月终于憋出来了，遗憾的是音效还是没能很好的加上去，不过有遗憾代表着下次还能再进步一点点，各位明年怪猎荒野再会！",552480
BV1fEBxYgE2h,七颗猩猩QKXX,我想看这样的春晚,-,639118
BV1Q7BbYBEWv,鲤鱼Ace,Sprunki 节奏盒子,看似可爱的节奏盒子却隐藏着奇怪的秘密,571276
BV1U1BtY8EFi,神奇海挪,澳门三天两夜，一个胃根本不够用！,,1416947
BV1S7BiYDEuC,浅梦-Dream,【神奇教学在这里】两个月万字稿，用24分钟提升全体王者荣耀玩家的理解,"这期视频
可能很多人觉得不适用于路人局

可以看完之后再去打几把游戏
就明白自己的视角提高了多少了

其实说实话，下期暂时不知道什么时候见

前不久有朋友和我说现在教学博主越来越少了
你做这个未必有人看
我说：我想留下点东西，有价值能流传的",391003
BV1h6UUYDEY3,HOLA小测佬,探秘非洲最便宜国家！100元能买什么？到底有多便宜？,我们今天要带大家探秘的，是被称为非洲最便宜国家之一的埃及，据说他们的物价绝对会超出你们的想象。那他们的超市里都卖些什么？物价是怎么样？到底有多便宜？今天跟小测一起！一探究竟！,3510616
BV1nxBCYbEJF,乡野欢子,虎头蜂来家中做客，好心放其出去，不了反咬一口，真是人在家中坐，祸从天上来,-,2842679
BV18BBxYxEMT,大聪明小番茄,我偷偷剪了这些删掉的素材！！！《青春旅行团》花絮,"把一些没有放进正片的小片段，剪成了一段小花絮，希望你能看的开心~
每次看素材都还会哈哈大笑，期待下次旅行！！",560614
